id,neighborhood,sq_m,rooms,bathrooms,floors,sq_m_allotment,floor,neighborhood_id,price,house_type_id,is_renewal_needed,has_ac,has_fitted_wardrobes,has_lift,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,parking_included,parking_price,orientation_north,orientation_west,orientation_south,orientation_east,house_type,district_id,district
21742,San Cristobal,64.0,2,1,0,0.0,3,135,85000.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,0.0,False,True,False,False,Apartment,21,Villaverde
21741,Los Angeles,70.0,3,1,0,0.0,4,132,129900.0,1.0,True,False,True,True,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21740,San Andres,94.0,2,2,0,0.0,1,134,144247.0,1.0,False,False,True,True,False,False,False,False,True,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21739,San Andres,64.0,2,1,0,0.0,0,134,109900.0,1.0,False,False,False,True,False,False,False,False,True,False,False,False,0.0,False,False,True,False,Apartment,21,Villaverde
21738,Los Rosales,108.0,2,2,0,0.0,4,133,260000.0,1.0,False,True,True,True,False,True,False,False,True,True,True,True,0.0,True,True,True,True,Apartment,21,Villaverde
21737,San Andres,126.0,4,2,0,0.0,3,134,195000.0,1.0,False,False,False,False,False,False,True,True,False,False,True,True,0.0,False,False,False,True,Apartment,21,Villaverde
21736,San Andres,120.0,5,2,0,0.0,1,134,190000.0,1.0,False,True,True,False,False,True,True,True,True,True,True,True,0.0,False,False,True,False,Apartment,21,Villaverde
21735,Villaverde,125.0,3,2,0,0.0,2,134,198500.0,1.0,False,True,True,False,False,False,True,False,False,False,False,False,0.0,False,False,True,False,Apartment,21,Villaverde
21734,Villaverde,84.0,3,2,0,0.0,1,131,212000.0,1.0,False,True,True,True,False,True,False,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21733,Los Rosales,85.0,2,1,0,0.0,7,133,131400.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,0.0,False,True,False,False,Apartment,21,Villaverde
21732,San Andres,69.0,2,2,0,0.0,2,134,118000.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21731,Villaverde,122.0,3,2,0,0.0,6,131,246900.0,1.0,False,True,True,True,False,True,False,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21730,Los Rosales,123.0,3,2,0,0.0,4,133,195000.0,1.0,False,True,True,True,False,False,False,False,False,False,False,False,0.0,False,False,False,True,Apartment,21,Villaverde
21729,Los Angeles,109.0,3,2,0,0.0,3,132,205000.0,1.0,False,False,True,True,False,False,True,False,True,False,False,False,0.0,False,False,True,False,Apartment,21,Villaverde
21728,San Cristobal,64.0,3,1,0,0.0,3,135,72000.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21727,Los Rosales,115.0,3,1,0,0.0,3,133,160000.0,1.0,False,True,False,False,False,False,True,False,True,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21726,Villaverde,115.0,3,1,0,0.0,1,133,184900.0,1.0,False,True,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21725,Villaverde,65.0,3,1,0,0.0,4,132,90000.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21724,Villaverde,75.0,3,1,0,0.0,3,134,129900.0,1.0,True,False,False,True,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21723,Villaverde,60.0,2,1,0,0.0,0,135,94900.0,1.0,False,True,True,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21722,Villaverde,60.0,2,1,0,0.0,2,134,89900.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21721,Villaverde,95.0,4,2,0,0.0,4,132,144900.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21720,Villaverde,76.0,3,1,0,0.0,2,134,110000.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21719,San Andres,51.0,2,1,0,0.0,-1,134,93000.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21718,San Andres,134.0,3,2,0,0.0,2,134,130000.0,1.0,False,False,False,True,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21717,San Andres,62.0,2,1,0,0.0,2,134,104000.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21716,San Andres,75.0,3,1,0,0.0,3,134,138000.0,1.0,False,True,True,False,False,False,True,False,False,False,True,True,0.0,False,False,False,True,Apartment,21,Villaverde
21715,Villaverde,112.0,4,2,0,0.0,2,131,280000.0,1.0,False,False,True,True,False,True,False,False,True,True,True,True,0.0,False,True,True,True,Apartment,21,Villaverde
